IBGE,Municipio,Population,Date,First Doe,FirstDose,SecondDose,Second Doe,First Doe,Doe,First Dose,Dose,Única,Second Doe,Second Dose,Doe Adicional,Reforço,Reforço ,3Dose,DoseAdicional,Doe ,Dose ,Second Doe Revacinação,First Doe Revacinação,Firstº Reforço,Dose Adicional ,Doe Adicional ,Third Doe,Third Doe,3 Dose
4315750,Riozinho,4698,2021-03-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202875,Brunópolis,2318,2021-04-23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4312443,Morrinhos do Sul,2891,2021-05-12,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311643,Linha Nova,1724,2021-05-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3118502,Consolação,1786,2021-05-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2408805,Parazinho,5307,2021-06-03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3532306,Natividade da Serra,6624,2021-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3106804,Bias Fortes,3282,2021-06-22,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3133907,Itaverava,5321,2021-06-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3164407,São Sebastião da Bela Vista,5598,2021-06-29,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2406155,Jundiá,3945,2021-07-02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3140407,Marmelópolis,2701,2021-07-02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3165800,Senador José Bento,1422,2021-07-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4213351,Ponte Alta do Norte,3426,2021-07-02,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4312674,Nicolau Vergueiro,1667,2021-07-05,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3145406,Olaria,1694,2021-07-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4308854,Gentil,1619,2021-07-12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104403,Argirita,2681,2021-07-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
